text,actual_label,predicted_label
"@user I still think it was fake. I always thought Nicki to be the type to call you out on a random Tuesday, not at an awards show""",Negative,Neutral
John Cena throwing Jon Stewart at the WWE is pretty amusing:,Positive,Neutral
"""1st this @user writer implies I copied Kpop, now lectures me to know it. What's the Korean word for backtrack?",Neutral,Negative
Hard to be excited about Eric church at wefest for the 3rd time in 5 years. Does literally no one else want to headline?!,Negative,Positive
"August 29, 2015  VIDEO: What Sarah Palin and Donald Trump  Did Last Night Is Exploding Across the Internet",Positive,Negative
"""I miss old school Dashboard Confessional, taking back Sunday, senses fail, early November, and the used. #middleschooljams""",Negative,Positive
"@user Yeah, keeps my mind off of not having any Hedley dates to look forward to. Although my last day is December 11th at work.""",Neutral,Negative
"@user on the 11th, or as I like to call, the day the chosen one was born, and by chosen one I mean Hulk Hogan""",Positive,Neutral
"""*sunrise* Rahul Gandhi : Can you see sunlight? Students : Yesss! Rahul Gandhi : May be you can see it, i don't, i am inside the hall.""",Neutral,Negative
Daily MailCelebrity Big Brother's Emma Willis is casual ahead of UK vs USA CBB launchDaily MailAnd just a month after the 16th series...,Positive,Neutral
Tomorrow haunted house with Sam kaitlyn marisela Yesinea marcos and maybe Walter and Katie xD,Neutral,Positive
#YakubDebate have you seen the long bearded Yakub off late. #presstitutes won't show the radicalised man.,Neutral,Positive
I\u2019m definitely going to that cypress game Friday.,Positive,Neutral
1st time i drove stick ever  i kinda lied to the salesman at AB Honda that i can drive standard and took the 5 speed manual for a #TestDrive,Negative,Neutral
@user Just because I made up a 10th or 11th Tails I forgot. If you Watch Naruto then you already..but I'm over it.,Neutral,Negative
ugh why everyone going to Athens Saturday night. go Friday!,Negative,Positive
@user naww U2 may not be the best band for you then,Negative,Positive
@user And the father of the Speaker of the Knesset works for Kirill. My 1st argument that Active Measures are severe in Israel.,Negative,Neutral
@user kane is a better then rooney with back to goal. rooney better sat just off,Neutral,Negative
"So what if Donald Trump is right on some things? Like the old saying goes ""the sun will shine on a dog's ass, occasionally."" ;-)",Neutral,Negative
Don't miss the beast Brock Lesnar on ESPN tomorrow morning! #BrockLesnar,Positive,Neutral
\u2019No Favorites\u2019 for Russia-Portugal Clash - Capello: MOSCOW\u002c October 11 (RIA Novosti) - Russia\u2019s match with Portu...,Negative,Neutral
Arsenal to make improved bid for Juventus striker ...,Positive,Neutral
"""Tomorrow's field trip day, so I deserve Dunkin bfast. Then it's Friday, so definitely deserve Dunkin. And well Saturdays are special so...""",Neutral,Positive
@user that practice is from the african athiests and sun worshippers. Not from Islam.,Neutral,Negative
Who else thinks that the \u2019Little Things\u2019 video that premieres November 2nd is gonna beat Justin Biebers record?,Neutral,Negative
"""A random homeless guy was married you, Justin Bieber may perhaps at this pointed invitation was not in nature.""",Neutral,Negative
Thank god bob gainey isnt the gm of monteal anymore. He probably would have tried to pick mario lemieux with the 3rd pick #TSN #NHLDRAFT,Positive,Negative
"""Heather is like the serpent in the garden trying 2 entice info from McBain! Michael Easton, dont ever go away that long! Watching Tues #GH.""",Negative,Neutral
"@user that's a good point. I didn't think about it. It sounded like Tegan but I read """"""""iPhone"""""""" and I assumed it was Sara. You may be right""",Positive,Negative
Celtics game tomorrow night at 7:30!! How about a hometown win!,Neutral,Positive
@user Yeah. I saw Reakwon at Soundset and many times before. Still want to go but you know. If it wasn't a Sunday freaking night...,Negative,Neutral
"@user Berlusconi on September 29th: """"My old Milanista heart didn't allow me to sell the club. We'll control Milan forever.""""""",Neutral,Positive
"@user Sir, there are enemies in the White House.Something needs to be done TODAY not November 6th.Clinton,Obama,Panetta,Petraeus,Lamb""",Negative,Neutral
"Did you get a chance to join our Google+ Hangout Friday, July 24th? Take a few minutes to watch the live broadcast!",Positive,Neutral
Dressing ghetto tomorrow with my Nike sandals no socks looks like gotta cut my toe nails,Negative,Positive
We\u2019re playing with Jim White on Tuesday! Static on the Radio por favor? via @user @user @user #DCSHOWS,Neutral,Positive
Welcome to Lukmon Osukoya's Blog: Boko Haram may be receiving its funding from the p...,Positive,Negative
Listen Kendrick hard but that last Album was weak af yal can remove yal lips from his dick cause the 1st Album was wayyyyyy harder,Neutral,Negative
"""\""""@rwh4vt: We look like UVA. There I said it.\"""" So sad but so very true.. November 24th is going to be a circus""",Negative,Positive
You know you're a fag when you listen to music from naruto on Monday nights,Negative,Positive
May God bless the people of Israel and keep them safe.,Positive,Negative
Like and share this if you want the mcpe 0.12.0 update on ios tomorrow #0.12.0 #ios #minecraft,Neutral,Positive
@user Oooh. Haha. Well unfortunately I really shouldn't watch another tonight. Although I might. But it'd be Blue which will make me,Negative,Positive
"""Why Christmas and not """"Holiday""""? Us Jews (and perhaps Muslims) might want to know?",Neutral,Negative
My middle daughter just told me a 5th grade presentation in her class was on Seth Rollins.  #school #wwe #education,Neutral,Negative
Another Saturday where it seems like Plan B is gonna take over.,Neutral,Negative
@user @user Can\u2019t really remember but I think it was Capello\u2019s 2nd and we started with 9 or 10 wins and ended with Chimenti,Neutral,Positive
Donald Trump pledges 2 forgo a 3rd- party run. While Chris Christie pledges never 2 run let alone jog as he sometimes forgets his nebulizer.,Neutral,Negative
Sum1'll say he saw PMB wt Michelle Obama @ a hotel kissin n d nxt 2nd ur readn it online alrdy! No e4ts 2 find out d authenticity of d story,Positive,Negative
"""Excited to read """"Go Set a Watchman"""" on Tuesday.  But can it possibly live up to """"To Kill a Mockingbird?""""  Any opinions?""",Positive,Negative
@user @user yes it is a song partly about Hillsborough\u002c my point is it was aimed towards Suarez on Sunday,Neutral,Positive
Amen RT @user May the Universe guide Tony Romo's arms and eyes toward Jason Witten. And May Jason (cont),Neutral,Negative
I didn't watch Sharknado 3 because I never saw the 2nd movie and thought I'd be lost.,Neutral,Negative
The 1st Amendment is being ignored while the new federal right to marriage equality made up by SCOTUS (marriage...,Negative,Neutral
"""Whoever brought about the 7th grade pop edition of Ed Sheeran """"photograph"""".. #die""",Negative,Neutral
Up to the 4th episode of True Blood 2nd season.  It gets better & better.,Positive,Negative
"""Did Donald Trump propose the biggest tax hike in American history as Jeb Bush says?""  Ruling: True",Neutral,Negative
